table_label,dataset,k,selector,metric,stat,seed,paper_value,source_value,delta,status,source_id
tab:additional_results_review_grouped,CoLA,2,URS,accuracy,mean,,70.97,70.969626,0.000374,MATCH,additional_low_budget
tab:additional_results_review_grouped,CoLA,4,Magnitude,accuracy,mean,,71.2,71.203271,0.003271,MATCH,additional_low_budget
tab:additional_results_review_grouped,CoLA,4,URS,accuracy,mean,,71.55,71.553738,0.003738,MATCH,additional_low_budget
tab:additional_results_review_grouped,CoLA,avg,Magnitude,accuracy,mean,,70.92,70.92095,0.00095,MATCH,additional_low_budget
tab:additional_results_review_grouped,CoLA,avg,URS,accuracy,mean,,71.08,71.076713,0.003287,MATCH,additional_low_budget
tab:additional_results_review_grouped,Food-101,1,Magnitude,accuracy,mean,,89.22,89.224752,0.004752,MATCH,additional_low_budget
tab:additional_results_review_grouped,Food-101,1,URS,accuracy,mean,,89.34,89.338614,0.001386,MATCH,additional_low_budget
tab:additional_results_review_grouped,Food-101,2,Magnitude,accuracy,mean,,90.96,90.964356,0.004356,MATCH,additional_low_budget
tab:additional_results_review_grouped,Food-101,2,URS,accuracy,mean,,91.11,91.112871,0.002871,MATCH,additional_low_budget
tab:additional_results_review_grouped,Food-101,4,Magnitude,accuracy,mean,,92.88,92.875248,0.004752,MATCH,additional_low_budget
tab:additional_results_review_grouped,Food-101,4,URS,accuracy,mean,,93.14,93.141584,0.001584,MATCH,additional_low_budget
tab:additional_results_review_grouped,Food-101,avg,Magnitude,accuracy,mean,,91.02,91.021452,0.001452,MATCH,additional_low_budget
tab:additional_results_review_grouped,Food-101,avg,URS,accuracy,mean,,91.2,91.19769,0.00231,MATCH,additional_low_budget
tab:additional_results_review_grouped,EuroSAT,1,Magnitude,accuracy,mean,,58.74,58.740741,0.000741,MATCH,additional_low_budget
tab:additional_results_review_grouped,EuroSAT,1,URS,accuracy,mean,,60.36,60.361111,0.001111,MATCH,additional_low_budget
tab:additional_results_review_grouped,EuroSAT,2,Magnitude,accuracy,mean,,73.56,73.555556,0.004444,MATCH,additional_low_budget
tab:additional_results_review_grouped,EuroSAT,2,URS,accuracy,mean,,75.7,75.703704,0.003704,MATCH,additional_low_budget
tab:additional_results_review_grouped,EuroSAT,4,Magnitude,accuracy,mean,,88.98,88.981481,0.001481,MATCH,additional_low_budget
tab:additional_results_review_grouped,EuroSAT,4,URS,accuracy,mean,,90.45,90.453704,0.003704,MATCH,additional_low_budget
tab:additional_results_review_grouped,EuroSAT,avg,Magnitude,accuracy,mean,,73.76,73.759259,0.000741,MATCH,additional_low_budget
