table_label,dataset,k,selector,metric,stat,seed,paper_value,source_value,delta,status,source_id
tab:per_seed_main_vision,CIFAR-100,2,Magnitude,accuracy,seed,1,82.45,82.45,0.0,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-100,2,Magnitude,accuracy,seed,2,81.91,81.91,0.0,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-100,2,Magnitude,accuracy,seed,3,82.21,82.21,0.0,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-100,2,Magnitude,accuracy,mean,,82.07,82.0725,0.0025,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-100,2,Magnitude,accuracy,se,,0.16,0.161265,0.001265,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-100,2,URS,accuracy,seed,0,82.41,82.41,0.0,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-100,2,URS,accuracy,seed,1,83.17,83.17,0.0,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-100,2,URS,accuracy,seed,2,82.27,82.27,0.0,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-100,2,URS,accuracy,seed,3,82.8,82.8,0.0,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-100,2,URS,accuracy,mean,,82.66,82.6625,0.0025,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-100,2,URS,accuracy,se,,0.2,0.202952,0.002952,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-100,4,Magnitude,accuracy,seed,0,85.52,85.52,0.0,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-100,4,Magnitude,accuracy,seed,1,86.04,86.04,0.0,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-100,4,Magnitude,accuracy,seed,2,85.45,85.45,0.0,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-100,4,Magnitude,accuracy,seed,3,85.96,85.96,0.0,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-100,4,Magnitude,accuracy,mean,,85.74,85.7425,0.0025,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-100,4,Magnitude,accuracy,se,,0.15,0.150243,0.000243,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-100,4,URS,accuracy,seed,0,86.06,86.06,0.0,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-100,4,URS,accuracy,seed,1,86.67,86.67,0.0,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-100,4,URS,accuracy,seed,2,85.71,85.71,0.0,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-100,4,URS,accuracy,seed,3,86.35,86.35,0.0,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-100,4,URS,accuracy,mean,,86.2,86.1975,0.0025,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-100,4,URS,accuracy,se,,0.2,0.204751,0.004751,MATCH,per_seed_main_vision
